COD TARA,Economii,Cheltuieli,Datorii,Inflatia,FBC(formarea bruta de capital),PIB,Export,Import,Industrie
AFG(Afganistan),2.728,36.65,4.914,4.976,19.17,556.3,5.905,45.33,22.13
ALB(Albania),8.208,23.86,27.13,1.994,19.29,3915,37.33,49.5,25.81
BGR(Bulgaria),14.76,32.33,21.33,2.064,20.09,8228,67.37,63.71,24.67
BWA(Bhairawa),26.57,26.05,2.447,3.308,28.24,7894,39.97,33.9,29.83
COL(Columbia),2.773,25.26,41.45,4.312,21.62,6376,15.09,20.17,26.81
DOM(Republica Dominicana),17.26,16.86,15.58,3.28,21.83,7223,24.83,28.09,27.04
IND(India),16.31,14.3,10.08,2.491,30.94,1981,18.78,21.99,26.5
JOR(Iordania),4.38,26.12,12.44,3.324,19.93,4169,35.12,56.36,27.65
MAR(Marok),20.86,24.51,3.815,0.755,32.59,3036,37.11,46.62,26.13
NEP(Nepla),38.13,19.61,8.482,3.627,45.74,900.6,9.097,42.89,13.4
PER(Peru),7.092,20.35,20.51,2.803,20.67,6701,24.57,22.66,31.19
ROU(Romania),3.403,31.63,22.43,1.339,23.38,10793,41.53,43.65,23.36
RUS(Rusia),7.971,30.63,11.74,3.683,24.09,10751,26.05,20.71,30.47
THA(Thailanda),14.03,18.4,4.668,0.666,22.84,6578,66.18,54.35,35.28
TUR(Turcia),11.43,31.93,40.23,11.14,30.97,10500,24.8,29.32,29.16
UGA(Uganda),-9.535,13.32,3.683,5.21,23.69,631.5,18.14,23.35,20.34
UKR(Ucraina),3.459,33.58,20.7,14.44,19.35,2641,48.01,55.7,23.37
ZAF(Africa de Sud),0.632,34.42,13.43,5.181,18.81,6127,29.63,28.35,26.29
ZWE(Zimbabwe),-22.18,26.6,14.29,0.91,8.135,1602,18.99,29.34,25.79
